city,datetime,month,hour,air_temperature_c,relative_humidity_pct,wind_speed_mps,solar_elevation_deg,tmrt_c,utci_c,thermal_stress_category_he,thermal_stress_category_en
turin,2024-08-31T06:00,8,6,19.8,74,0.81,11.5,20.34,20.48,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-31T09:00,8,9,24.5,54,0.1,41.3,41.19,29.99,עומס חום בינוני,Moderate Heat Stress
turin,2024-08-31T12:00,8,12,31.8,33,0.71,52.9,59.78,39.41,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-31T15:00,8,15,33.8,28,1.46,32.0,64.14,41.57,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-31T18:00,8,18,32.7,30,2.1,0.7,46.1,36.85,עומס חום חזק,Strong Heat Stress
turin,2024-08-31T21:00,8,21,27.4,48,1.08,-26.8,26.77,27.8,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-01T00:00,9,0,24.7,60,2.0,-36.1,24.24,25.06,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-01T03:00,9,3,21.8,65,1.1,-18.7,14.42,19.75,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-01T06:00,9,6,20.4,67,0.92,11.3,19.79,20.7,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-01T09:00,9,9,23.4,60,3.47,41.1,36.26,28.02,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-01T12:00,9,12,28.5,47,1.49,52.5,54.47,35.72,עומס חום חזק,Strong Heat Stress
turin,2024-09-01T15:00,9,15,29.3,49,3.69,31.6,56.81,37.9,עומס חום חזק,Strong Heat Stress
turin,2024-09-01T18:00,9,18,29.8,45,2.06,0.4,48.21,35.13,עומס חום חזק,Strong Heat Stress
turin,2024-09-01T21:00,9,21,24.6,68,1.08,-27.2,17.89,22.92,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-02T00:00,9,0,22.1,84,0.81,-36.5,22.1,22.55,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-02T03:00,9,3,20.6,88,2.77,-19.0,20.6,21.05,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-02T06:00,9,6,19.0,96,1.24,11.1,20.12,19.85,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-02T09:00,9,9,19.3,92,2.15,40.8,32.53,23.9,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-02T12:00,9,12,24.3,66,1.13,52.2,48.73,31.68,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-02T15:00,9,15,25.2,61,1.61,31.3,54.09,33.41,עומס חום חזק,Strong Heat Stress
turin,2024-09-02T18:00,9,18,26.2,54,1.26,0.0,44.29,31.77,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-02T21:00,9,21,22.2,75,1.27,-27.5,15.33,20.35,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-03T00:00,9,0,20.8,80,0.36,-36.8,13.86,18.68,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-03T03:00,9,3,18.8,91,1.4,-19.2,12.0,16.79,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-03T06:00,9,6,18.0,88,0.95,10.9,12.17,16.29,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-03T09:00,9,9,22.0,70,1.0,40.6,36.95,27.13,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-03T12:00,9,12,27.6,48,1.2,51.8,51.47,34.5,עומס חום חזק,Strong Heat Stress
turin,2024-09-03T15:00,9,15,29.7,40,1.88,31.0,55.76,36.79,עומס חום חזק,Strong Heat Stress
turin,2024-09-03T18:00,9,18,27.7,48,1.71,-0.3,22.67,26.79,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-03T21:00,9,21,23.6,66,1.02,-27.9,23.41,24.05,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-04T00:00,9,0,21.3,80,2.64,-37.2,21.23,21.73,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-04T03:00,9,3,19.1,88,0.45,-19.5,18.97,19.45,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-04T06:00,9,6,18.4,92,1.8,10.7,17.07,18.37,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-04T09:00,9,9,20.4,82,1.14,40.3,30.12,24.05,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-04T12:00,9,12,25.3,59,1.57,51.4,53.82,33.43,עומס חום חזק,Strong Heat Stress
turin,2024-09-04T15:00,9,15,27.1,55,1.84,30.6,55.26,34.86,עומס חום חזק,Strong Heat Stress
turin,2024-09-04T18:00,9,18,22.6,74,2.15,-0.6,22.6,23.05,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-04T21:00,9,21,19.8,91,0.61,-28.3,19.8,20.21,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-05T00:00,9,0,18.8,98,3.35,-37.5,18.8,19.34,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-05T03:00,9,3,19.2,94,4.21,-19.7,19.2,20.35,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-05T06:00,9,6,18.6,93,4.76,10.5,19.84,20.74,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-05T09:00,9,9,17.8,95,5.47,40.1,19.89,21.24,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-05T12:00,9,12,18.4,93,7.04,51.0,24.48,27.99,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-05T15:00,9,15,19.5,85,2.55,30.3,35.94,24.99,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-05T18:00,9,18,19.8,83,2.82,-0.9,19.6,20.18,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-05T21:00,9,21,18.2,94,1.7,-28.6,18.11,18.61,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-06T00:00,9,0,18.1,94,1.7,-37.9,17.98,18.5,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-06T03:00,9,3,17.5,97,1.43,-20.0,17.35,17.92,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-06T06:00,9,6,17.3,96,1.63,10.3,13.1,16.21,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-06T09:00,9,9,18.2,93,0.64,39.8,27.25,21.81,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-06T12:00,9,12,21.4,75,1.34,50.7,41.66,27.99,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-06T15:00,9,15,24.5,59,0.86,30.0,51.41,32.59,עומס חום חזק,Strong Heat Stress
turin,2024-09-06T18:00,9,18,24.3,59,0.42,-1.2,17.62,22.51,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-06T21:00,9,21,20.2,82,1.53,-29.0,13.28,18.23,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-07T00:00,9,0,19.0,88,1.0,-38.2,13.21,17.35,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-07T03:00,9,3,17.9,92,0.51,-20.2,11.77,15.92,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-07T06:00,9,6,16.4,99,1.14,10.1,11.24,14.9,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-07T09:00,9,9,18.8,93,0.36,39.6,30.64,23.27,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-07T12:00,9,12,22.5,74,0.81,50.3,47.05,30.24,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-07T15:00,9,15,24.6,62,0.81,29.6,48.76,31.98,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-07T18:00,9,18,23.8,67,0.58,-1.6,23.74,24.25,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-07T21:00,9,21,22.0,75,0.72,-29.4,21.96,22.45,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T00:00,9,0,20.0,80,1.6,-38.6,19.68,20.35,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T03:00,9,3,19.8,92,1.28,-20.4,19.8,20.26,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T06:00,9,6,19.3,97,0.7,9.9,19.3,19.72,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T09:00,9,9,19.5,94,0.0,39.3,23.65,21.34,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T12:00,9,12,19.8,90,0.54,49.9,26.38,22.47,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T15:00,9,15,20.0,91,0.91,29.3,26.36,22.6,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T18:00,9,18,19.9,90,0.22,-1.9,19.9,20.28,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-08T21:00,9,21,18.2,97,1.12,-29.7,18.2,18.67,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-09T00:00,9,0,16.3,100,1.21,-38.9,11.09,14.78,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-09T03:00,9,3,16.8,98,1.12,-20.7,14.56,16.44,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-09T06:00,9,6,15.5,100,0.89,9.7,14.91,15.76,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-09T09:00,9,9,16.6,95,1.32,39.0,33.17,22.75,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-09T12:00,9,12,25.4,44,2.12,49.5,50.88,32.73,עומס חום חזק,Strong Heat Stress
turin,2024-09-09T15:00,9,15,28.2,33,3.4,28.9,54.26,36.08,עומס חום חזק,Strong Heat Stress
turin,2024-09-09T18:00,9,18,26.3,52,1.2,-2.2,18.98,24.56,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-09T21:00,9,21,19.7,53,2.33,-30.1,11.23,17.18,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-10T00:00,9,0,17.9,58,2.12,-39.3,9.3,15.2,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-10T03:00,9,3,15.7,78,1.32,-20.9,7.86,13.14,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-10T06:00,9,6,13.7,87,1.1,9.5,6.32,11.19,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-10T09:00,9,9,17.1,78,0.5,38.8,33.38,23.27,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-10T12:00,9,12,24.3,54,0.73,49.1,50.57,32.32,עומס חום חזק,Strong Heat Stress
turin,2024-09-10T15:00,9,15,26.4,39,2.4,28.6,54.24,34.19,עומס חום חזק,Strong Heat Stress
turin,2024-09-10T18:00,9,18,25.9,52,1.22,-2.6,18.71,24.18,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-10T21:00,9,21,21.2,65,1.7,-30.5,13.58,19.06,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-11T00:00,9,0,17.3,79,0.63,-39.7,9.54,14.71,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-11T03:00,9,3,15.1,84,0.45,-21.2,8.08,12.62,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-11T06:00,9,6,13.3,84,1.2,9.3,4.95,10.36,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-11T09:00,9,9,16.8,80,1.56,38.5,33.37,22.89,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-11T12:00,9,12,21.7,73,2.52,48.7,50.96,30.33,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-11T15:00,9,15,23.3,62,1.1,28.2,50.71,31.61,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-11T18:00,9,18,23.1,63,0.51,-2.9,22.55,23.37,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-11T21:00,9,21,18.8,86,2.0,-30.9,18.08,18.98,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-12T00:00,9,0,16.6,96,1.93,-40.0,16.14,16.87,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-12T03:00,9,3,16.3,99,2.26,-21.4,15.9,16.56,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-12T06:00,9,6,15.7,99,1.84,9.1,15.12,15.94,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-12T09:00,9,9,16.0,97,1.39,38.2,20.22,18.05,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
